,data,precipitacao,pressao_atm,radiacao,temperatura_ar,temperatura_orvalho,umidade_rel,vento_direcao,vento_rajada_max,vento_velocidade,temperatura_min,temperatura_max,pm10,so2,no2,o3,co,pm10_min,so2_min,no2_min,o3_min,co_min,pm10_max,so2_max,no2_max,o3_max,co_max,internacoes
54,2020-07-09,0.025,1014.5916666666668,1060.0454545454545,10.8875,6.558333333333333,75.54166666666667,282.6666666666667,8.354166666666666,2.6875,9.1,13.2,13.77375,8.660833333333334,5.6890909090909085,34.598260869565216,,6.0,1.34,0.47,0.98,,71.5,42.57,20.95,51.46,,1
55,2020-07-10,0.0083333333333333,1012.1375000000002,1198.090909090909,11.270833333333334,6.733333333333334,77.08333333333333,121.125,2.3833333333333333,0.8999999999999999,5.4,20.1,45.96153846153846,28.126666666666665,9.682272727272728,12.29458333333333,,6.0,6.54,3.38,0.98,,85.81,81.08,25.52,45.07,,2
56,2020-07-11,0.2833333333333334,1008.0708333333332,209.41666666666663,13.758333333333333,11.820833333333333,88.29166666666667,141.0,3.475,1.0291666666666666,12.3,15.0,40.91545454545454,22.019166666666667,12.43684210526316,8.068750000000001,,6.0,13.38,3.99,0.98,,87.01,42.4,18.17,20.73,,0
57,2020-07-12,0.5,1004.775,203.3416666666667,13.15,12.325,94.79166666666669,170.83333333333334,3.954166666666667,1.125,12.3,14.2,17.935,8.605833333333333,,19.24125,,6.0,4.41,,7.99,,41.23,17.44,,27.25,,4
58,2020-07-13,0.0083333333333333,1011.45,1203.7545454545457,12.725,8.549999999999999,78.75,225.5,2.770833333333333,0.9333333333333332,9.4,15.5,22.136666666666667,15.876666666666663,,17.539166666666667,,6.0,4.31,,0.98,,43.59,35.85,,52.28,,2
59,2020-07-14,0.0,1018.3625,1251.2272727272727,9.083333333333334,0.8666666666666667,57.833333333333336,247.875,5.662499999999999,1.6875,4.3,11.8,20.47958333333333,12.332916666666668,10.114285714285714,25.277083333333337,,6.0,3.94,1.9,0.98,,81.52,54.31,19.49,47.92,,2
60,2020-07-15,0.0,1019.8291666666668,1212.6636363636362,7.616666666666667,2.954166666666667,74.66666666666667,175.41666666666666,2.525,0.8958333333333334,3.2,14.5,62.34357142857142,23.426666666666662,12.890476190476187,17.92833333333333,,14.97,7.82,5.59,0.98,,100.0,42.37,23.68,62.94,,3
61,2020-07-16,0.375,1016.8375,111.0818181818182,9.770833333333334,7.433333333333333,85.75,116.04166666666669,6.004166666666666,1.7166666666666668,7.8,11.2,37.3535,21.18375,15.549999999999995,4.594166666666666,,14.33,9.14,3.23,0.98,,62.61,43.05,26.97,16.92,,5
62,2020-07-17,0.0166666666666666,1013.3,430.8058823529413,14.120833333333332,12.625,91.125,183.58333333333331,2.404166666666667,0.8083333333333332,10.8,19.7,40.13,21.49791666666667,14.75,8.184166666666666,,12.35,9.11,9.14,0.98,,74.39,33.45,24.38,36.14,,2
63,2020-07-18,0.0,1010.6875,1105.8,19.72083333333333,16.079166666666666,81.875,162.5,2.433333333333333,0.8083333333333332,14.0,28.5,48.234,29.835416666666664,13.772,16.992916666666666,,24.02,13.15,4.83,0.98,,97.46,77.68,39.08,61.44,,2
64,2020-07-19,0.0,1010.3291666666668,1145.1454545454546,22.58333333333333,16.479166666666668,71.29166666666667,174.70833333333334,3.25,1.1125,17.4,30.1,50.65714285714286,25.249583333333334,,33.415,,16.85,12.08,,0.98,,100.0,61.4,,68.76,,2
65,2020-07-20,0.0,1009.9166666666666,1092.472727272727,21.254166666666663,15.975,73.29166666666667,177.54166666666666,2.25,0.8583333333333334,17.1,27.3,58.4625,26.905833333333334,18.60944444444445,21.762083333333333,,6.0,12.81,8.35,0.98,,97.2,43.66,34.97,70.82,,1
66,2020-07-21,0.0,1008.3916666666668,1084.509090909091,20.92083333333333,14.895833333333334,70.83333333333333,177.45833333333334,2.891666666666667,1.0791666666666668,16.4,27.8,88.27,34.23625,17.678,19.02875,,88.27,14.72,4.86,0.98,,88.27,76.82,38.28,72.25,,5
67,2020-07-22,0.0,1008.5208333333334,1091.5818181818183,21.28333333333333,14.908333333333331,69.58333333333333,173.83333333333334,2.329166666666667,0.9375,16.6,28.6,56.53266666666666,37.236250000000005,21.33421052631579,18.209166666666665,,6.0,14.62,5.54,0.98,,99.96,60.62,47.0,72.71,,2
68,2020-07-23,0.0,1008.9958333333334,1075.8,21.84583333333333,14.654166666666669,67.0,124.29166666666669,3.1291666666666664,1.2416666666666667,17.1,29.0,42.3535,18.308260869565217,,38.52571428571428,,6.0,0.65,,0.98,,81.48,52.3,,71.69,,3
69,2020-07-24,0.0,1006.9291666666664,952.4454545454544,20.78333333333333,14.054166666666664,67.20833333333333,153.29166666666666,3.7708333333333335,1.1666666666666667,15.3,27.8,38.51166666666666,3.1375,,41.085,,14.07,0.65,,0.98,,75.08,37.08,,68.18,,2
